""
37AACCK8056H1ZB,Kanti Brothers Oils Pvt Ltd. Kurnool
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-01,20-21/LLF/106,52418,GSTR2B Input,01/11/2020,20-21/LLF/106,55976
Books,2020-11-01,20-21/CAM/116,17658,GSTR2B Input,01/11/2020,20-21/CAM/116,17658
37ACIFS7105A1ZD,Sree Vijaya Krishna Hospitality Services Vizag
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-02,3,187384,,,,
33AAKCA4972C1ZU,Artex Trends (India) Pvt Ltd CHN
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-02,ATH/8406/20-21,120619,,,,
Books,2020-11-05,ATH/8438/20-21,71794,GSTR2B Input,02/11/2020,ATH/8438/20-21,71794
Books,2020-11-07,ATH/8499/20-21,197531,GSTR2B Input,04/11/2020,ATH/8499/20-21,197531
,EBO Sales Incentive
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-03,,4000,,,,
Books,2020-11-03,,67550,,,,
Books,2020-11-05,,11000,,,,
Books,2020-11-07,,97275,,,,
Books,2020-11-19,,238253,,,,
Books,2020-11-23,,32640,,,,
Books,2020-11-24,,580,,,,
Books,2020-11-25,,430,,,,
37AACCL7019D1ZP,Lotus Broadband Pvt Ltd - Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-04,LOTUS/20-21/2964,2241,,,,
37AAACE6553D2ZS,Excell Media Pvt Ltd. Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-04,14738117,4598,,,,
,,,,GSTR2B Input,01/10/2020,14697800,4598.46
,,,,GSTR2B Input,01/09/2020,14657753,4598.46
37BURPS4221H1Z8,Gouse Art of Signs Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-04,212,269699,,,,
Books,2020-11-04,213,67419,,,,
Books,2020-11-04,214,40451,,,,
Books,2020-11-04,215,76242,,,,
Books,2020-11-04,216,26967,,,,
,,,,GSTR2B Input,17/09/2020,207,44840
37AAACT8355L1ZT,Trendset Builders Pvt Ltd. Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-05,TSBAP/20-21/4,74643,,,,
,,,,GSTR2B Input,01/10/2020,TSBAP/20-21/02,79709
,,,,GSTR2B Input,01/10/2020,TSBAP/20-21/03,79709
37AAACB0446L1ZR,Blue Dart Express Limited Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-05,201137FD00027,5723,,,,
Books,2020-11-17,201037RT04705,6480,,,,
Books,2020-11-17,201037RT04703,2169,,,,
Books,2020-11-17,201037RT04702,2632,,,,
Books,2020-11-17,201037RT04700,4166,,,,
Books,2020-11-17,201037RT04513,9547,,,,
Books,2020-11-17,201037RT04512,4600,,,,
Books,2020-11-17,201037RT04507,2546,,,,
Books,2020-11-17,201037RT04509,4002,,,,
Books,2020-11-17,201037RT04497,2085,,,,
Books,2020-11-17,201037RT04502,2132,,,,
Books,2020-11-17,201037RT04495,12616,,,,
Books,2020-11-17,201037RT04506,1808,,,,
Books,2020-11-17,201037RT04503,3392,,,,
Books,2020-11-17,201037RT04505,2978,,,,
Books,2020-11-17,201037RT04508,4098,,,,
Books,2020-11-17,201037RT04498,1561,,,,
Books,2020-11-17,201037RT04499,2858,,,,
Books,2020-11-17,201037RT04496,4629,,,,
Books,2020-11-17,201037RT04510,18066,,,,
Books,2020-11-17,201037RT04501,6069,,,,
Books,2020-11-17,201037RT04494,2388,,,,
Books,2020-11-17,201037RT04500,2992,,,,
Books,2020-11-17,201037RT04493,3759,,,,
Books,2020-11-17,201037RT04504,7702,,,,
Books,2020-11-17,201037RT04511,4047,,,,
Books,2020-11-17,201037RT04314,4627,,,,
Books,2020-11-17,201037RT04313,4797,,,,
Books,2020-11-17,201037RT04312,4405,,,,
Books,2020-11-17,201037RT04310,3844,,,,
Books,2020-11-17,201037RT04309,5365,,,,
